TRACK: Political_Science_BA
URL: https://catalog.unc.edu/undergraduate/programs-study/political-science-major-ba/

## Requirements
NOTE: In addition to the program requirements, students must
NOTE: For more information, please consult the degree requirements section of the catalog .
### Core Requirements
  POLI 630 | Political Contestation in Europe | 3hrs
  POLI 631 | European Security: The Enlarging European Union and the Trans-Atlantic Relationship | 3hrs
  POLI 632 | The European Union as a Global Actor | 3hrs

## Political Theory
NOTE: Political theory courses examine political ideas and values like justice, power, and democracy that we use to describe, understand, and assess political practices and institutions. These courses analyze the writings and ideas of political thinkers in the classical and modern worlds.
### Introductory Courses
  POLI 270 | Classical Political Thought H | 3hrs
  POLI 271 | Modern Political Thought H | 3hrs
### Specialized Courses
  POLI 265 | Feminism and Political Theory | 3hrs
  POLI 272 | The Ethics of Peace, War, and Defense | 3hrs
  POLI 275 | Nationalism, Immigration and the Politics of Identity H | 3hrs
  POLI 276 | Major Issues in Political Theory H | 3hrs
  POLI 280 | American Political Thought After the Civil War H | 3hrs
### Advanced Courses
  POLI 470 | Social and Political Philosophy H | 3hrs
  POLI 471 | Contemporary Political Thought H | 3hrs
  POLI 472 | Problems of Modern Democratic Theory H | 3hrs
  POLI 476 | The Political Theory of the American Founding | 3hrs
  POLI 477 | Advanced Feminist Political Theory | 3hrs
  POLI 478 | The Politics, Philosophy, and Economics of Education | 3hrs

## Research Methods
### Empirical Methods Courses
  POLI 209 | Analyzing Public Opinion H | 3hrs
  POLI 281 | Data in Politics I: An Introduction | 3hrs
  POLI 285 | Applied Experimental Research: Politics in the US and Europe | 3hrs
  POLI 381 | Data in Politics II: Frontiers and Applications | 3hrs
  POLI 417 | Advanced Political Psychology H | 3hrs
  POLI 691H | Honors Seminar in Research Design | 3hrs
### Formal Theory Courses
  POLI 287 | Strategy and International Relations | 3hrs
  POLI 288 | Strategy and Politics | 3hrs
  POLI 488 | Game Theory | 3hrs
