TRACK: Religious_Studies_Minor
URL: https://catalog.unc.edu/undergraduate/programs-study/religious-studies-minor/

## Requirements
NOTE: In addition to the program requirements listed below, students must:
NOTE: For more information, please consult the degree requirements section of the catalog .
### Core Requirements
RULE: Minimum requirements for the minor consist of five courses, two of which must be numbered above 400 15
### Additional Requirements
RULE: At least one course in two of the department's subfields (see lists below).
NOTE: Introductory and intermediate language courses ( RELI 401 , RELI 402 , RELI 403 , RELI 404 , RELI 409 , RELI 410 ) are recommended for their usefulness but do not count towards the minor in religious studies.

## Ancient Mediterranean Religions
  RELI 163 | Critical Issues in Western Religious Thought | 3hrs
  RELI 164 | Heresy and Inquisition: Religion, Ethics, Marginalization | 3hrs
  RELI 165 | Mysticism H | 3hrs
  RELI 166 | Ideals, Cultures, and Rituals of the University H | 3hrs
  RELI 184 | East Asian Religions | 3hrs
  RELI 209 | Varieties of Early Christianity H | 3hrs
  RELI 215 | Eastern Christian Cultures: Middle East, Asia, Africa, and Eastern Europe | 3hrs
  RELI 220 | Religion and Medicine H | 3hrs
  RELI 266 | Medieval and Renaissance Christian Cultures | 3hrs
  RELI 365 | Studies in Christian Theologies and Theologians | 3hrs
  RELI 366 | Medieval Religious Texts | 3hrs
  RELI 367 | The Art of Devotion in Medieval and Early Modern Europe | 3hrs
  RELI 368 | Race, Sexuality, and Disability in the History of Western Christianity H | 3hrs
  RELI 390 | Topics in the Study of Religion (based on topic) | 3hrs
  RELI 450 | Sexuality in Jewish Tradition and History | 3hrs
  RELI 465 | Monotheistic Mysticism | 3hrs
  RELI 565 | Medieval Jews and the Bible | 3hrs
  RELI 564 | Religion, Race, and Inquisition in the Spanish Empire | 3hrs
  RELI 566 | Islamic and Jewish Legal Literature | 3hrs
  RELI 569 | Interfaith Marriages and Intimacy in World Religions | 3hrs
  RELI 586 | Women and Gender in Japanese Religions | 3hrs
  RELI 590 | Topics in the Study of Religion (based on topic) | 3hrs
  RELI 617 | Death and Afterlife in the Ancient World H | 3hrs
  RELI 662 | Advanced Seminar in Contemporary Catholicism | 3hrs
  RELI/WGST 362 | Mary in the Christian Tradition H | 3hrs
  RELI/WGST 371 | Women Mystics | 3hrs
  RELI 665/WGST 664 | Body and Suffering in Christian Mysticism | 3hrs

## Religion and Culture
  ANTH/FOLK/RELI 428 | Religion and Anthropology H | 3hrs
  ANTH/FOLK/RELI 688 | Observation and Interpretation of Religious Action | 3hrs
  CMPL/GSLL 270/JWST 239/RELI 239 | German Culture and the Jewish Question | 3hrs
  HIST/RELI 263 | Gender and Religion in Premodern Europe H | 3hrs
  JWST 100/RELI 123 | Introduction to Jewish Studies | 3hrs
  JWST/RELI 343 | Religion in Modern Israel | 3hrs
  JWST/RELI/WGST 533 | Women, Gender, and Judaism | 3hrs
  PHIL 134/RELI 126 | Reason, Faith, and God: Philosophy of Western Religion H | 3hrs
  RELI 60 | First-Year Seminar: Religion and Racism | 3hrs
  RELI 61 | First-Year Seminar: Religion, Magic, and Science | 3hrs
  RELI 67 | First-Year Seminar: Nature/Culture/Self-Identity: Religion in the Construction of Social Life | 3hrs
  RELI 68 | FYS: Charisma in Religion, Science, and Poetry Studies in the Entrepreneurial Imagination H | 3hrs
  RELI 71 | First-Year Seminar: The Spirit of Capitalism | 3hrs
  RELI 74 | First-Year Seminar: Person, Time, and Religious Conduct H | 3hrs
  RELI 75 | First-Year Seminar: Sacrifice and Surrender | 3hrs
  RELI 76 | First-Year Seminar: Money and Morality: Divining Value in Social Life | 3hrs
  RELI 77 | First-Year Seminar: Martyrs and Warriors: Religion and the Problem of Violence | 3hrs
  RELI 79 | First-Year Seminar: Human Animals in Religion and Ethics | 3hrs
  RELI 85 | First-Year Seminar: Sex, Marriage, and Family in Religion | 3hrs
  RELI 101 | Introduction to Religious Studies | 3hrs
  RELI 102 | World Religions | 3hrs
  RELI 121 | Introduction to Religion and Culture H | 3hrs
  RELI 122 | Introduction to Philosophical Approaches to Religion H | 3hrs
  RELI 125 | Heaven and Hell | 3hrs
  RELI 127 | The Claims of Science and Religion | 3hrs
  RELI 130 | Religion and Popular Culture | 3hrs
  RELI 134 | Introduction to Religious Ethics H | 3hrs
  RELI 135 | Religion, Ethics, and Technology H | 3hrs
  RELI 138 | Religious Freedom | 3hrs
  RELI 163 | Critical Issues in Western Religious Thought | 3hrs
  RELI 166 | Ideals, Cultures, and Rituals of the University H | 3hrs
  RELI 167 | Global Christianity | 3hrs
  RELI 205 | Sacrifice in the Ancient World H | 3hrs
  RELI 220 | Religion and Medicine H | 3hrs
  RELI 222 | Modern Western Religious Thought | 3hrs
  RELI 224 | Modern Jewish Thought H | 3hrs
  RELI 225 | Christian Cultures | 3hrs
  RELI 226 | Human Animals in Religion and Ethics | 3hrs
  RELI 232 | Shrines and Pilgrimages | 3hrs
  RELI 233 | Religion and Violence | 3hrs
  RELI 235 | Place, Space, and Religion | 3hrs
  RELI 236 | Religious Things | 3hrs
  RELI 245 | Latina/o Religions in the United States-Mexico Borderlands H | 3hrs
  RELI 246 | Supernatural Encounters: Zombies, Vampires, Demons, and the Occult in the Americas H | 3hrs
  RELI 322 | Theories of Religion H | 3hrs
  RELI 323 | Social Theory and Cultural Diversity | 3hrs
  RELI 325 | Religion, Magic, and Science | 3hrs
  RELI 338 | Religion in American Law | 3hrs
  RELI 345 | Black Atlantic Religions H | 3hrs
  RELI 352 | Anthropology of Christianity | 3hrs
  RELI 390 | Topics in the Study of Religion (based on topic) | 3hrs
  RELI 420 | Post-Holocaust Ethics and Theology H | 3hrs
  RELI 421 | Religion and Science | 3hrs
  RELI 423 | Ethnicity, Race, and Religion in America | 3hrs
  RELI 425 | Psychology of Religion H | 3hrs
  RELI 426 | The Sacrifice of Abraham H | 3hrs
  RELI 427 | Spirit Possession and Mediumship | 3hrs
  RELI 430 | Dimensions of Evil | 3hrs
  RELI 438 | Religion, Nature, and Environment H | 3hrs
  RELI 452 | Documenting Religion | 3hrs
  RELI 474 | Buddhist Meditation, Mindfulness, and Modernity | 3hrs
  RELI 522 | 19th-Century Critiques of Religion | 3hrs
  RELI 524 | Ethnographic Approaches to Contemporary Religion | 3hrs
  RELI 525 | Seminar in Religion and Literature | 3hrs
  RELI 527 | Religious Metaphor and Symbol | 3hrs
  RELI 528 | Rituals and Rhetorics of Religion | 3hrs
  RELI 530 | Genealogies of Religion | 3hrs
  RELI 564 | Religion, Race, and Inquisition in the Spanish Empire | 3hrs
  RELI 590 | Topics in the Study of Religion (based on topic) | 3hrs
  RELI 620 | Feminism and Religion | 3hrs
  RELI/SOCI 429 | Religion and Society | 3hrs
  RELI/WGST 244 | Gender and Sexuality in Western Christianity H | 3hrs
  RELI/WGST 362 | Mary in the Christian Tradition H | 3hrs
  RELI 368/WGST 370 | Race, Sexuality, and Disability in the History of Western Christianity H | 3hrs
  RELI/WGST 424 | Gender Theory and the Study of Religion | 3hrs
  RELI 665/WGST 664 | Body and Suffering in Christian Mysticism | 3hrs

## Religion in the Americas
  ANTH/FOLK/RELI 342 | African-American Religious Experience | 3hrs
  ASIA/RELI 445 | Asian Religions in America | 3hrs
  JWST/RELI 107 | Introduction to Modern Judaism | 3hrs
  JWST/RELI 143 | Judaism in Our Time | 3hrs
  JWST/RELI 243 | Introduction to American Judaism | 3hrs
  JWST/RELI 343 | Religion in Modern Israel | 3hrs
  JWST/RELI 444/WGST 448 | Gender and Sexuality in Contemporary Judaism | 3hrs
  RELI 60 | First-Year Seminar: Religion and Racism | 3hrs
  RELI 66 | First-Year Seminar: Buddhism in America: From the Buddha to the Beastie Boys | 3hrs
  RELI 69 | First-Year Seminar: Gender and Sexuality in Contemporary Judaism | 3hrs
  RELI 71 | First-Year Seminar: The Spirit of Capitalism | 3hrs
  RELI 72 | First-Year Seminar: Apocalypse Now? Messianic Movements in America | 3hrs
  RELI 87 | First-Year Seminar: Confessions | 3hrs
  RELI 130 | Religion and Popular Culture | 3hrs
  RELI 135 | Religion, Ethics, and Technology H | 3hrs
  RELI 140 | Religion in America H | 3hrs
  RELI 141 | African American Religions H | 3hrs
  RELI 142 | Catholicism in America | 3hrs
  RELI 151 | Religion in Latin America | 3hrs
  RELI 235 | Place, Space, and Religion | 3hrs
  RELI 240 | Religion, Literature, and the Arts in America H | 3hrs
  RELI 241 | Messianic Movements in American History | 3hrs
  RELI 242 | New Religious Movements in America | 3hrs
  RELI 245 | Latina/o Religions in the United States-Mexico Borderlands H | 3hrs
  RELI 246 | Supernatural Encounters: Zombies, Vampires, Demons, and the Occult in the Americas H | 3hrs
  RELI 247 | Uncertain Truths: Conspiracy Theories, Aliens, and Secret Societies in America | 3hrs
  RELI 248 | Introduction to American Islam H | 3hrs
  RELI 332 | The Protestant Tradition H | 3hrs
  RELI 338 | Religion in American Law | 3hrs
  RELI 340 | Liberal Tradition in American Religion | 3hrs
  RELI 345 | Black Atlantic Religions H | 3hrs
  RELI 390 | Topics in the Study of Religion (based on topic) | 3hrs
  RELI 423 | Ethnicity, Race, and Religion in America | 3hrs
  RELI 441 | Religion in Early America H | 3hrs
  RELI 442 | History of Religion in America since 1865 | 3hrs
  RELI 443 | Evangelicalism in Contemporary America H | 3hrs
  RELI 446 | Christian-Jewish Relations throughout the Ages | 3hrs
  RELI 448 | Native and Christian: Indigenous Engagements with Christianity | 3hrs
  RELI 452 | Documenting Religion | 3hrs
  RELI 501 | The History of the Bible in Modern Study | 3hrs
  RELI 540 | Mormonism and the American Experience | 3hrs
  RELI 541 | Evangelicalism from a Global Perspective H | 3hrs
  RELI 542 | Religion and the Counterculture H | 3hrs
  RELI 580 | African American Islam | 3hrs
  RELI 590 | Topics in the Study of Religion (based on topic) | 3hrs
